Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Income or wealth quantile,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,16.3
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of children/households receiving child/family cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,6.7
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,1.3
2017,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by labour market programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,1.18817
2019,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by labour market programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,1.54027
2017,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by labour market programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2019,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by labour market programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2000,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,4.0
2018,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,20.8
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,22.0
2007,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,19.97842
2011,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,27.72977
2017,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,11.40076
2019,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,31.0907
2007,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,28.4347
2011,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,37.23238
2017,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,14.82905
2019,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,58.95749
2007,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,1.20928
2011,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,2.65504
2017,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,3.40748
2019,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,4.80745
2007,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,1.02456
2011,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.44657
2017,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.60987
