Year,SDG Series,Sex,Age,Unit of measure,Value
2000,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",51.9
2001,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",51.1
2002,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",50.7
2003,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",50.4
2004,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",51.2
2005,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",51.7
2006,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",53.4
2007,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",54.6
2008,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",54.5
2009,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",54.0
2010,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",52.1
2011,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",50.8
2012,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",46.5
2013,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",44.8
2014,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",42.9
2015,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",42.1
2016,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",40.8
2017,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",39.9
2018,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",38.8
2019,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",38.1
2020,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",37.9
2000,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",46.0
2001,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",45.3
2002,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",44.9
2003,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",44.7
2004,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",45.4
2005,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",46.0
2006,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",47.6
2007,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",48.8
2008,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",48.7
2009,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",48.3
2010,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",46.5
2011,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",45.4
2012,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",41.4
2013,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",39.8
2014,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",38.2
2015,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",37.4
2016,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",36.2
2017,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",35.4
2018,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",34.4
2019,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",33.8
2020,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",33.6
2000,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",57.6
2001,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",56.6
2002,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",56.2
2003,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",55.8
2004,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",56.6
2005,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",57.1
2006,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",59.0
2007,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",60.2
2008,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",60.1
2009,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",59.5
2010,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",57.3
2011,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",56.0
2012,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",51.3
2013,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",49.4
2014,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",47.4
2015,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",46.6
2016,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",45.1
2017,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",44.2
2018,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",42.9
2019,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",42.1
2020,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",42.0
2000,Infant deaths (number) [3.2.1],,under 1 year old,Number,19301.0
2001,Infant deaths (number) [3.2.1],,under 1 year old,Number,19175.0
2002,Infant deaths (number) [3.2.1],,under 1 year old,Number,19261.0
2003,Infant deaths (number) [3.2.1],,under 1 year old,Number,19451.0
2004,Infant deaths (number) [3.2.1],,under 1 year old,Number,20130.0
2005,Infant deaths (number) [3.2.1],,under 1 year old,Number,20791.0
2006,Infant deaths (number) [3.2.1],,under 1 year old,Number,22017.0
2007,Infant deaths (number) [3.2.1],,under 1 year old,Number,23113.0
2008,Infant deaths (number) [3.2.1],,under 1 year old,Number,23711.0
2009,Infant deaths (number) [3.2.1],,under 1 year old,Number,24133.0
2010,Infant deaths (number) [3.2.1],,under 1 year old,Number,23804.0
2011,Infant deaths (number) [3.2.1],,under 1 year old,Number,23680.0
2012,Infant deaths (number) [3.2.1],,under 1 year old,Number,21931.0
2013,Infant deaths (number) [3.2.1],,under 1 year old,Number,21210.0
2014,Infant deaths (number) [3.2.1],,under 1 year old,Number,20245.0
2015,Infant deaths (number) [3.2.1],,under 1 year old,Number,19665.0
2016,Infant deaths (number) [3.2.1],,under 1 year old,Number,18753.0
2017,Infant deaths (number) [3.2.1],,under 1 year old,Number,18018.0
2018,Infant deaths (number) [3.2.1],,under 1 year old,Number,17196.0
2019,Infant deaths (number) [3.2.1],,under 1 year old,Number,16615.0
2020,Infant deaths (number) [3.2.1],,under 1 year old,Number,16354.0
2000,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,8459.0
2001,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,8415.0
2002,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,8460.0
2003,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,8553.0
2004,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,8875.0
2005,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,9180.0
2006,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,9735.0
2007,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,10238.0
2008,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,10506.0
2009,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,10700.0
2010,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,10559.0
2011,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,10505.0
2012,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,9701.0
2013,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,9373.0
2014,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,8937.0
2015,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,8679.0
2016,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,8266.0
2017,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,7933.0
2018,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,7572.0
2019,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,7312.0
2020,Infant deaths (number) [3.2.1],Female,under 1 year old,Number,7194.0
2000,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,10842.0
2001,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,10760.0
2002,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,10801.0
2003,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,10898.0
2004,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,11255.0
2005,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,11611.0
2006,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,12282.0
2007,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,12875.0
2008,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,13205.0
2009,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,13433.0
2010,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,13245.0
2011,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,13175.0
2012,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,12230.0
2013,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,11837.0
2014,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,11308.0
2015,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,10986.0
2016,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,10487.0
2017,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,10085.0
2018,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,9624.0
2019,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,9303.0
2020,Infant deaths (number) [3.2.1],Male,under 1 year old,Number,9160.0
2000,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",95.5
2001,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",93.8
2002,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",92.6
2003,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",91.6
2004,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",92.4
2005,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",93.1
2006,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",95.0
2007,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",95.7
2008,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",94.5
2009,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",91.3
2010,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",86.4
2011,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",80.8
2012,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",72.2
2013,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",66.3
2014,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",62.7
2015,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",61.3
2016,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",58.7
2017,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",57.0
2018,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",54.8
2019,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",54.2
2020,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",53.9
2000,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",88.9
2001,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",87.2
2002,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",86.2
2003,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",85.3
2004,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",86.0
2005,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",86.8
2006,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",88.6
