Year,NATURE,Sex,Degree of urbanisation,Composite breakdown,Disability status,Nature of data points,Value
2019,E,,,,,Estimated,25.55
2019,E,,,,Persons with disability,Estimated,48.35
2019,E,,,,Persons without disability,Estimated,26.4
2019,E,,,Grounds of discrimination: Age,,Estimated,4.45
2019,E,,,Grounds of discrimination: Age,Persons with disability,Estimated,5.5
2019,E,,,Grounds of discrimination: Age,Persons without disability,Estimated,4.3
2019,E,,,Grounds of discrimination: Disability,,Estimated,1.2
2019,E,,,Grounds of discrimination: Disability,Persons with disability,Estimated,9.0
2019,E,,,Grounds of discrimination: Disability,Persons without disability,Estimated,0.9
2019,E,,,Grounds of discrimination: Ethnic or immigration status,,Estimated,7.0
2019,E,,,Grounds of discrimination: Ethnic or immigration status,Persons with disability,Estimated,16.3
2019,E,,,Grounds of discrimination: Ethnic or immigration status,Persons without disability,Estimated,7.2
2019,E,,,Grounds of discrimination: Marital and family status,,Estimated,7.0
2019,E,,,Grounds of discrimination: Marital and family status,Persons with disability,Estimated,15.65
2019,E,,,Grounds of discrimination: Marital and family status,Persons without disability,Estimated,7.6
2019,E,,,Grounds of discrimination: Other,,Estimated,3.65
2019,E,,,Grounds of discrimination: Other,Persons with disability,Estimated,10.2
2019,E,,,Grounds of discrimination: Other,Persons without disability,Estimated,3.75
2019,E,,,Grounds of discrimination: Political opinion,,Estimated,3.75
2019,E,,,Grounds of discrimination: Political opinion,Persons with disability,Estimated,9.1
2019,E,,,Grounds of discrimination: Political opinion,Persons without disability,Estimated,4.1
2019,E,,,Grounds of discrimination: Religion,,Estimated,5.05
2019,E,,,Grounds of discrimination: Religion,Persons with disability,Estimated,8.65
2019,E,,,Grounds of discrimination: Religion,Persons without disability,Estimated,5.05
2019,E,,,Grounds of discrimination: Sex,,Estimated,4.9
2019,E,,,Grounds of discrimination: Sex,Persons with disability,Estimated,10.2
2019,E,,,Grounds of discrimination: Sex,Persons without disability,Estimated,5.1
2019,E,,,Grounds of discrimination: Born out of wedlock,,Estimated,2.95
2019,E,,,Grounds of discrimination: Born out of wedlock,Persons with disability,Estimated,7.5
2019,E,,,Grounds of discrimination: Born out of wedlock,Persons without disability,Estimated,2.75
2019,E,,Rural,,,Estimated,26.85
2019,E,,Rural,Grounds of discrimination: Age,,Estimated,4.25
2019,E,,Rural,Grounds of discrimination: Disability,,Estimated,1.2
2019,E,,Rural,Grounds of discrimination: Ethnic or immigration status,,Estimated,7.7
2019,E,,Rural,Grounds of discrimination: Marital and family status,,Estimated,7.6
2019,E,,Rural,Grounds of discrimination: Other,,Estimated,4.15
2019,E,,Rural,Grounds of discrimination: Political opinion,,Estimated,3.65
2019,E,,Rural,Grounds of discrimination: Religion,,Estimated,4.9
