Value,Disaggregation combinations using this value,Number of indicators
Above-ground biomass in forest (tonnes per hectare) [15.2.1],1,1
Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],4,1
"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",225,1
"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",2,1
"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio) [4.5.1]",3,1
"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",215,1
Adjusted low to high socio-economic parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],2,1
Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],2,1
"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",105,1
Age-standardized mortality rate attributed to ambient air pollution [3.9.1],1,1
Age-standardized mortality rate attributed to household air pollution [3.9.1],1,1
Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1],1,1
Agriculture orientation index for government expenditures [2.a.1],3,1
Agriculture share of Government Expenditure [2.a.1],3,1
Agriculture value added share of GDP [2.a.1],2,1
Amount of tracked exported Environmentally Sound Technologies [17.7.1],1,1
Amount of tracked imported Environmentally Sound Technologies [17.7.1],1,1
Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],1,1
"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",3,1
"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",3,1
Annual broad money growth (%) [17.13.1],1,1
Annual forest area change rate (%) [15.2.1],1,1
Annual GDP growth (%) [17.13.1],1,1
Annual growth of exports of goods and services (%) [17.13.1],1,1
Annual growth of households and NPISHs final consumption expenditure [17.13.1],1,1
Annual growth of imports of goods and services (%) [17.13.1],1,1
Annual growth of the general government final consumption expenditure (%) [17.13.1],1,1
Annual growth of the gross capital formation (%) [17.13.1],1,1
"Annual inflation, consumer prices (%) [17.13.1]",1,1
Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],3,1
Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],3,1
"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",6,1
"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",7,1
Broad money to total reserves ratio [17.13.1],1,1
Carbon dioxide emissions from fuel combustion [9.4.1],2,1
Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],1,1
Carbon dioxide emissions per unit of manufacturing value added [9.4.1],1,1
Cash surplus/deficit as a proportion of GDP [17.13.1],1,1
Children moderately or severely overweight (number) [2.2.2],21,1
Children moderately or severely stunted (number) [2.2.1],21,1
Children moderately or severely wasted (number) [2.2.2],6,1
Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],1,1
Compliance with the Montreal Protocol on hazardous waste and other chemicals [12.4.1],1,1
Compliance with the Rotterdam Convention on hazardous waste and other chemicals [12.4.1],1,1
Compliance with the Stockholm Convention on hazardous waste and other chemicals [12.4.1],1,1
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],1,1
Countries that are parties to the Nagoya Protocol (1 = YES; 0 = NO) [15.6.1],1,1
Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],1,1
"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",2,1
"Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House (1 = YES; 0 = NO) [15.6.1]",1,1
"Countries with an allocation from the national budget to manage the threat of invasive alien species (1 = YES, 0 = NO) [15.8.1]",1,1
Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],1,1
Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],1,1
"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",1,1
Countries with national statistical plans that are fully funded (1 = YES; 0 = NO) [17.18.3],1,1
Countries with national statistical plans that are under implementation (1 = YES; 0 = NO) [17.18.3],1,1
Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],1,1
Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],1,1
"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",1,1
"Countries with procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA) [6.b.1]",1,1
"Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA) [6.b.1]",1,1
Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO) [12.1.1],1,1
"Countries with users/communities participating in planning programs in rural drinking-water supply, by level of participation (3 = High; 2 = Moderate; 1 = Low; 0 = NA) [6.b.1]",2,1
"Countries with users/communities participating in planning programs in water resources planning and management, by level of participation (3 = High; 2 = Moderate; 1 = Low; 0 = NA) [6.b.1]",1,1
Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) [14.5.1],1,1
Current account balance as a proportion of GDP (%) [17.13.1],1,1
Current number of seats in national parliaments [5.5.1],1,1
Deaths attributed non-communicable diseases (number) [3.4.1],60,1
DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],1,1
Degree of integrated water resources management implementation (%) [6.5.1],1,1
"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",1,1
"Degree of integrated water resources management implementation, financing (%) [6.5.1]",1,1
"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",1,1
"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",1,1
"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",2,2
"Direct economic loss attributed to disasters [1.5.2,11.5.2]",2,2
"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",2,2
"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",2,2
"Domestic material consumption [8.4.2,12.2.2]",36,2
"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",36,2
"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",36,2
"Electronic waste collected, per capita (KG) [12.4.2]",1,1
Electronic waste collected (Tonnes) [12.4.2],1,1
Electronic waste collection rate (%) [12.4.2],1,1
"Electronic waste generated, per capita (Kg) [12.4.2]",1,1
Electronic waste generated (Tonnes) [12.4.2],1,1
Employed population below international poverty line [1.1.1],9,1
Extent of human made wetlands (square kilometres) [6.6.1],1,1
Extent of inland wetlands (square kilometres) [6.6.1],1,1
Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient (%)  [17.15.1],1,1
"Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education [5.6.2]",1,1
External debt stocks as a proportion of GNI (%) [17.13.1],1,1
Fatal occupational injuries among employees (rate) [8.8.1],7,1
Fixed broadband subscriptions (number) [17.6.1],10,1
Fixed broadband subscriptions per 100 inhabitants [17.6.1],4,1
Food waste [12.3.1],3,1
Food waste per capita [12.3.1],3,1
"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",1,1
Forest area as a proportion of total land area [15.1.1],1,1
Forest area certified under an independently verified certification scheme (hectares) [15.2.1],2,1
Forest area (hectares) [15.1.1],1,1
Fossil-fuel subsidies (consumption and production) [12.c.1],1,1
Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],1,1
Fossil-fuel subsidies (consumption and production) per capita [12.c.1],1,1
Freight volume (tonne kilometres) [9.1.2],5,1
Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],11,1
"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",4,1
"Health worker distribution, by sex and type of occupation [3.c.1]",4,1
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables) [12.b.1],1,1
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],1,1
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables) [12.b.1],1,1
Indicator of Food Price Anomalies (IFPA) [2.c.1],3,1
"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",1,1
