Value,Disaggregation combinations using this value,Number of indicators
2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,33,2
African Development Bank Group Annual Report 2019,36,2
Annual Statistical Report 2015 (http://mopse.co.zw/sites/default/files/public/downloads/2015%20Annual%20Statistics%20Report_0.pdf); Data extracted on 01 April 2022.,8,1
"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",6,1
Compiled by UNECA African Centre for Statistics and UN Women,1,1
DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2,1
"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",4,1
Data gathered as a result of a survey,2,1
Data gathered from the latest version of NBSAP,3,1
"Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.",1,1
"Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations",2,1
Environment Live,3,1
Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,48,1
FAO calculation based on WB national account data and FAO imputation,2,1
FAO estimate based on FAOSTAT data from 2019,3,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",5,2
FAO Imputation. World Bank national accounts data.,3,1
FAO Imputation.,3,1
FAO-WIEWS (http://www.fao.org/wiews),3,1
Global Surface Water Explorer extraction for UN Environment Programme,20,1
https://absch.cbd.int/countries,1,1
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International ",1,1
ICAO,2,1
"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",3,1
IFC 2021 Annual Report Volume 2,40,2
IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,15,1
IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,41,1
IMF Annual Report 2021,40,2
"Inter-Parliamentary Union (IPU), Parline Database",7,1
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",40,2
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",1,1
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",1,1
"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1,1
"International Monetary Fund, International Financial Statistics and data files.",4,1
"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1,1
ITPGRFA Secretariat ,4,1
Multiple Indicator Cluster Survey (MICS6); Children attending grade 2/3; Minimum proficiency level: Foundational numeracy skills. The minimum proficiency level alignment of this assessment is pending and subject to harmonization. Data extracted on 01 April 2022.,1,1
Multiple Indicator Cluster Survey (MICS6); Children attending grade 2/3; Minimum proficiency level: Foundational numeracy skills. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,3,1
Multiple Indicator Cluster Survey (MICS6); Children attending grade 2/3; Minimum proficiency level: Foundational reading skills. The minimum proficiency level alignment of this assessment is pending and subject to harmonization. Data extracted on 01 April 2022.,1,1
Multiple Indicator Cluster Survey (MICS6); Children attending grade 2/3; Minimum proficiency level: Foundational reading skills. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,3,1
NA,12,1
"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",2,1
POTRAZ,10,1
"Poverty and Inequality Portal, World Bank",10,1
Ramsar National Report COP14,2,1
Report of the Economic and Social Council on its 2020 Session (A/75/3/Rev.1),16,2
Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),11,1
"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",9,1
"Source: Joint Child Malnutrition Estimates (2021 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",42,1
Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ). Students achieving at least proficiency Level 5. Grade 6 Data extracted on 01 April 2022.,6,1
the International Transport Forum at the OECD (ITF-OECD),6,1
UN General Assembly website http://www.un.org/en/member-states/index.html,4,2
UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,17,2
"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",1,1
UNSD / UNITAR / WESR,1,1
UNSD,7,1
UNSD/UNEP Questionnaire on Environment Statistics,19,1
WHO 2020,1,1
"World Bank, International Debt Statistics.",1,1
"World Bank national accounts data, and OECD National Accounts data files.",6,1
World Environment Situation Room,1,1
World Health Organization Mortality Database,4,1
World Health Organization (WHO),2,1
"World Trade Organization, and World Bank GDP estimates.",1,1
WTO Annual Report 2021,28,2
Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,93,1
Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,48,1
Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,49,1
Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,184,1
Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,219,1
Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,49,1
Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,167,1
Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.; Data extracted on 01 April 2022.,413,1
"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",12,1
