Value,Disaggregation combinations using this value,Number of indicators
2017 Annual Education Statistics Profile (http://mopse.co.zw/sites/default/files/public/downloads/2017_National_Statistical_Profile.pdf); Data extracted on 01 April 2022.,1,1
2017 Annual Education Statistics Profile (http://mopse.co.zw/sites/default/files/public/downloads/2017_national_Statistical_Profile.pdf); Data extracted on 01 April 2022.,3,1
2018 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/2018%20Annual%20Statistics%20Report.pdf); Data extracted on 01 April 2022.,4,2
2019 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/2019%20Annual%20Education%20Statistics%20Report%20pdf%20for%20UPLOADING.pdf); Data extracted on 01 April 2022.,4,2
2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,4,2
African Development Bank Group Annual Report 2000,4,2
African Development Bank Group Annual Report 2005,4,2
African Development Bank Group Annual Report 2010,4,2
African Development Bank Group Annual Report 2014,4,2
African Development Bank Group Annual Report 2015,4,2
African Development Bank Group Annual Report 2016,4,2
African Development Bank Group Annual Report 2017,4,2
African Development Bank Group Annual Report 2018,4,2
African Development Bank Group Annual Report 2019,4,2
Annual Statistical Report 2013 (http://mopse.co.zw/sites/default/files/public/downloads/2013-Annual-Statistical-report.pdf); Data extracted on 01 April 2022.,1,1
Annual Statistical Report 2015 (http://mopse.co.zw/sites/default/files/public/downloads/2015%20Annual%20Statistics%20Report_0.pdf); Data extracted on 01 April 2022.,6,2
Annual Statistical Report 2016 (http://mopse.co.zw/sites/default/files/public/downloads/2016%20Annual%20Statistics%20Report%20%281%29.pdf); Data extracted on 01 April 2022.,4,2
Annual Statistical Report for 2014 (http://mopse.co.zw/sites/default/files/public/downloads/2014-MoPSE-Annual-Statistical-Report.pdf); Data extracted on 01 April 2022.,13,3
"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",6,1
"Central Statistical Office (CSO) [Zimbabwe], Macro International Inc. Zimbabwe Demographic and Health Survey 2005-06. Calverton, Maryland, USA: CSO [Zimbabwe], Macro International Inc.; 2007.",1,1
Compiled by UNECA African Centre for Statistics and UN Women,1,1
DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2,1
"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",6,2
Data from FAOSTAT extracted 20220110,2,1
Data gathered as a result of a survey,2,1
Data gathered from the latest version of NBSAP,2,1
"Data gathered through a literature search (primary sources ECOLEX, FAOLEX) and consultation with country experts",1,1
"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1,1
"Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.",1,1
"Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations",2,1
"DHS 2005-2006. UNFPA Global Database, 2022.",4,1
"DHS 2010-2011. UNFPA Global Database, 2022.",4,1
"DHS 2015. UNFPA Global Database, 2022.",4,1
Environment Live,3,1
Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,6,1
FAO calculation based on UNSD national account estimates,1,1
FAO calculation based on WB national account data and FAO imputation,1,1
FAO estimate based on FAOSTAT data from 2019,1,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",5,2
FAO Imputation. World Bank national accounts data.,1,1
FAO Imputation.,1,1
FAO Questionnaire and IMF data. UNSD national account estimates.,1,1
FAO Questionnaire and IMF data.,1,1
FAO-WIEWS (http://www.fao.org/wiews),3,1
FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,1,1
Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,3,1
Global Surface Water Explorer extraction for UN Environment Programme,20,1
https://absch.cbd.int/countries,1,1
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International ",1,1
ICAO,2,1
"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",3,1
IFC 2000 Annual Report Volume 2,4,2
IFC 2005 Annual Report Volume 2,4,2
IFC 2010 Annual Report Volume 2,4,2
IFC 2015 Annual Report Volume 2,4,2
IFC 2016 Annual Report Volume 2,4,2
IFC 2017 Annual Report Volume 2,4,2
IFC 2018 Annual Report Volume 2,4,2
IFC 2019 Annual Report Volume 2,4,2
IFC 2020 Annual Report Volume 2,4,2
IFC 2021 Annual Report Volume 2,4,2
IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,15,1
IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,41,1
IMF Annual Report 2000,4,2
IMF Annual Report 2005,4,2
IMF Annual Report 2010,4,2
IMF Annual Report 2015,4,2
IMF Annual Report 2016,4,2
IMF Annual Report 2017,4,2
IMF Annual Report 2018,4,2
IMF Annual Report 2019,4,2
IMF Annual Report 2020,4,2
IMF Annual Report 2021,4,2
IMF data and FAO Imputation. UNSD national account estimates,1,1
IMF data and FAO Imputation.,1,1
"Inter-Parliamentary Union (IPU), Parline Database",3,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",2,1
