Year,COMMENT_OBS,SDG Series,Sex,Observation-level footnotes,Value
2000,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,8.5
2001,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,6.2
2005,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,6.2
2006,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,7.5
2007,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,6.3
2011,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,Fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,8.5
2012,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,Fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,9.5
2005,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,3.1
2006,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,1.2
2007,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,1.7
