Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population using basic drinking water services [1.4.1],,72
2001,Proportion of population using basic drinking water services [1.4.1],,72
2002,Proportion of population using basic drinking water services [1.4.1],,72
2003,Proportion of population using basic drinking water services [1.4.1],,71
2004,Proportion of population using basic drinking water services [1.4.1],,71
2005,Proportion of population using basic drinking water services [1.4.1],,70
2006,Proportion of population using basic drinking water services [1.4.1],,70
2007,Proportion of population using basic drinking water services [1.4.1],,69
2008,Proportion of population using basic drinking water services [1.4.1],,69
2009,Proportion of population using basic drinking water services [1.4.1],,68
2010,Proportion of population using basic drinking water services [1.4.1],,68
2011,Proportion of population using basic drinking water services [1.4.1],,67
2012,Proportion of population using basic drinking water services [1.4.1],,66
2013,Proportion of population using basic drinking water services [1.4.1],,66
2014,Proportion of population using basic drinking water services [1.4.1],,65
2015,Proportion of population using basic drinking water services [1.4.1],,65
2016,Proportion of population using basic drinking water services [1.4.1],,64
2017,Proportion of population using basic drinking water services [1.4.1],,64
2018,Proportion of population using basic drinking water services [1.4.1],,64
2019,Proportion of population using basic drinking water services [1.4.1],,63
2020,Proportion of population using basic drinking water services [1.4.1],,63
2000,Proportion of population using basic drinking water services [1.4.1],Rural,60
2001,Proportion of population using basic drinking water services [1.4.1],Rural,60
2002,Proportion of population using basic drinking water services [1.4.1],Rural,59
2003,Proportion of population using basic drinking water services [1.4.1],Rural,59
2004,Proportion of population using basic drinking water services [1.4.1],Rural,58
2005,Proportion of population using basic drinking water services [1.4.1],Rural,57
2006,Proportion of population using basic drinking water services [1.4.1],Rural,57
2007,Proportion of population using basic drinking water services [1.4.1],Rural,56
2008,Proportion of population using basic drinking water services [1.4.1],Rural,55
2009,Proportion of population using basic drinking water services [1.4.1],Rural,55
2010,Proportion of population using basic drinking water services [1.4.1],Rural,54
2011,Proportion of population using basic drinking water services [1.4.1],Rural,54
2012,Proportion of population using basic drinking water services [1.4.1],Rural,53
2013,Proportion of population using basic drinking water services [1.4.1],Rural,52
2014,Proportion of population using basic drinking water services [1.4.1],Rural,52
2015,Proportion of population using basic drinking water services [1.4.1],Rural,51
2016,Proportion of population using basic drinking water services [1.4.1],Rural,51
2017,Proportion of population using basic drinking water services [1.4.1],Rural,50
2018,Proportion of population using basic drinking water services [1.4.1],Rural,49
2019,Proportion of population using basic drinking water services [1.4.1],Rural,49
2020,Proportion of population using basic drinking water services [1.4.1],Rural,48
2000,Proportion of population using basic drinking water services [1.4.1],Urban,95
2001,Proportion of population using basic drinking water services [1.4.1],Urban,95
2002,Proportion of population using basic drinking water services [1.4.1],Urban,95
2003,Proportion of population using basic drinking water services [1.4.1],Urban,95
2004,Proportion of population using basic drinking water services [1.4.1],Urban,95
2005,Proportion of population using basic drinking water services [1.4.1],Urban,95
2006,Proportion of population using basic drinking water services [1.4.1],Urban,95
2007,Proportion of population using basic drinking water services [1.4.1],Urban,95
2008,Proportion of population using basic drinking water services [1.4.1],Urban,95
2009,Proportion of population using basic drinking water services [1.4.1],Urban,94
2010,Proportion of population using basic drinking water services [1.4.1],Urban,94
2011,Proportion of population using basic drinking water services [1.4.1],Urban,94
2012,Proportion of population using basic drinking water services [1.4.1],Urban,94
2013,Proportion of population using basic drinking water services [1.4.1],Urban,94
2014,Proportion of population using basic drinking water services [1.4.1],Urban,94
2015,Proportion of population using basic drinking water services [1.4.1],Urban,94
2016,Proportion of population using basic drinking water services [1.4.1],Urban,93
2017,Proportion of population using basic drinking water services [1.4.1],Urban,93
2018,Proportion of population using basic drinking water services [1.4.1],Urban,93
2019,Proportion of population using basic drinking water services [1.4.1],Urban,93
2020,Proportion of population using basic drinking water services [1.4.1],Urban,93
2000,Proportion of population using basic sanitation services [1.4.1],,45
2001,Proportion of population using basic sanitation services [1.4.1],,45
2002,Proportion of population using basic sanitation services [1.4.1],,45
2003,Proportion of population using basic sanitation services [1.4.1],,45
2004,Proportion of population using basic sanitation services [1.4.1],,45
2005,Proportion of population using basic sanitation services [1.4.1],,44
2006,Proportion of population using basic sanitation services [1.4.1],,44
2007,Proportion of population using basic sanitation services [1.4.1],,43
2008,Proportion of population using basic sanitation services [1.4.1],,42
2009,Proportion of population using basic sanitation services [1.4.1],,42
2010,Proportion of population using basic sanitation services [1.4.1],,41
2011,Proportion of population using basic sanitation services [1.4.1],,41
2012,Proportion of population using basic sanitation services [1.4.1],,40
2013,Proportion of population using basic sanitation services [1.4.1],,39
2014,Proportion of population using basic sanitation services [1.4.1],,39
2015,Proportion of population using basic sanitation services [1.4.1],,38
2016,Proportion of population using basic sanitation services [1.4.1],,38
2017,Proportion of population using basic sanitation services [1.4.1],,37
2018,Proportion of population using basic sanitation services [1.4.1],,36
2019,Proportion of population using basic sanitation services [1.4.1],,36
2020,Proportion of population using basic sanitation services [1.4.1],,35
2000,Proportion of population using basic sanitation services [1.4.1],Rural,35
2001,Proportion of population using basic sanitation services [1.4.1],Rural,35
2002,Proportion of population using basic sanitation services [1.4.1],Rural,35
2003,Proportion of population using basic sanitation services [1.4.1],Rural,35
2004,Proportion of population using basic sanitation services [1.4.1],Rural,35
2005,Proportion of population using basic sanitation services [1.4.1],Rural,35
2006,Proportion of population using basic sanitation services [1.4.1],Rural,35
2007,Proportion of population using basic sanitation services [1.4.1],Rural,35
2008,Proportion of population using basic sanitation services [1.4.1],Rural,34
2009,Proportion of population using basic sanitation services [1.4.1],Rural,34
2010,Proportion of population using basic sanitation services [1.4.1],Rural,34
2011,Proportion of population using basic sanitation services [1.4.1],Rural,34
2012,Proportion of population using basic sanitation services [1.4.1],Rural,34
2013,Proportion of population using basic sanitation services [1.4.1],Rural,33
2014,Proportion of population using basic sanitation services [1.4.1],Rural,33
2015,Proportion of population using basic sanitation services [1.4.1],Rural,33
