Year,SOURCE_DETAIL,SDG Series,Value
2006,"DHS 2005-2006. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",52.5
2011,"DHS 2010-2011. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",58.8
2015,"DHS 2015. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",59.9
2006,"DHS 2005-2006. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],91.5
2011,"DHS 2010-2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],88.5
2015,"DHS 2015. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],93.2
2006,"DHS 2005-2006. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],83.5
2011,"DHS 2010-2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],84.5
2015,"DHS 2015. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],86.6
2006,"DHS 2005-2006. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],68.1
2011,"DHS 2010-2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],75.8
2015,"DHS 2015. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],72.2
