Year,SDG Series,Type of product,Unit of measure,COMMENT_OBS,Observation-level footnotes,BASE_PER,Base period,Value
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.13492
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.19952
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.0468
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.54396
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.02855
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.37449
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.51986
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.8625
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.2681
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,3.60838
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.25661
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,4.89422
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.42033
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.22472
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.06294
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.03486
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.07653
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.19407
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.46345
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,,,5.50558
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.623
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.65537
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.52699
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.2348
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.1681
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.26716
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.15444
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.01117
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.09986
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.26235
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.36303
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.48234
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.73849
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.54498
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.59405
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.73403
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.84808
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.8363
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.84094
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,,,0.88438
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.06581
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.0494
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.59855
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.23398
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.02148
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.05599
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.09064
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.06932
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.05889
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.05096
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.31225
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.30237
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.43801
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.35764
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.18086
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.12924
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.08202
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.10316
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.10598
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,,,0.1104
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.07338
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.16661
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.58467
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.80895
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.28511
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.69308
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,3.044
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.73511
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.28997
