Year,SDG Series,Type of product,Observation-level footnotes,COMMENT_OBS,Value
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,6.25573
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,6.48638
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,6.01659
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,6.0173
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.5532
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.51169
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.5172
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.53585
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.5443
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.41077
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,5.49142
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,6.07214
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,,6.04474
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,14.59432
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,16.04092
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,15.24773
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,15.25818
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,11.9171
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,11.68581
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,11.69532
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,11.7859
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,11.84488
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,11.69717
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,11.62661
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,15.97184
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,,15.82616
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.55191
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
