Year,UNIT_MULT,NATURE,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Upper bound value,Lower bound value,Source details,Observation-level footnotes,COMMENT_OBS,Value
2005,0,CA,8.1,6.5,"Zimbabwe demographic and health survey 2005-06. Demographic and Health Surveys. Calverton, Maryland: CSO and Macro International Inc., 2007",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,3.5,2.4,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,,7.2
2009,0,CA,2.9,2,"Zimbabwe multiple indicator monitoring survey (MIMS), 2009. Report August 2010. Harare, Zimbabwe: ZIMSTAT, 2010",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,3.5,2.4,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,Oedema data was not considered in the analysis ,2.4
2010,0,CA,3.7,2.7,"Zimbabwe demographic and health survey 2010-11. Demographic and Health Surveys. Calverton, Maryland: ZIMSTAT and ICF International Inc., 2012",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,3.5,2.4,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,,3.2
2014,0,CA,3.6,2.9,"Zimbabwe Multiple Indicator Cluster Survey 2014, Final Report. Harare, Zimbabwe",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,3.5,2.4,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,Oedema data was not considered in the analysis ,3.2
2015,0,CA,3.9,2.8,"Zimbabwe Demographic and Health Survey 2015: Final Report. Rockville, Maryland, USA: Zimbabwe National Statistics Agency (ZIMSTAT) and ICF International.",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,3.5,2.4,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,,3.3
2019,0,CA,3.5,2.4,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Proportion of children moderately or severely wasted [2.2.2],Percent,Units,Country Adjusted,3.5,2.4,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,,2.9
2005,3,CA,142.9,114.3,"Zimbabwe demographic and health survey 2005-06. Demographic and Health Surveys. Calverton, Maryland: CSO and Macro International Inc., 2007",Children moderately or severely wasted (number) [2.2.2],Number,Thousands,Country Adjusted,74.2,50.8,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,,127.9
2009,3,CA,56,39.7,"Zimbabwe multiple indicator monitoring survey (MIMS), 2009. Report August 2010. Harare, Zimbabwe: ZIMSTAT, 2010",Children moderately or severely wasted (number) [2.2.2],Number,Thousands,Country Adjusted,74.2,50.8,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,Oedema data was not considered in the analysis ,47.2
2010,3,CA,73.7,53.8,"Zimbabwe demographic and health survey 2010-11. Demographic and Health Surveys. Calverton, Maryland: ZIMSTAT and ICF International Inc., 2012",Children moderately or severely wasted (number) [2.2.2],Number,Thousands,Country Adjusted,74.2,50.8,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,,63.0
2014,3,CA,81.6,64.4,"Zimbabwe Multiple Indicator Cluster Survey 2014, Final Report. Harare, Zimbabwe",Children moderately or severely wasted (number) [2.2.2],Number,Thousands,Country Adjusted,74.2,50.8,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",Oedema data was not considered in the analysis ,Oedema data was not considered in the analysis ,72.5
