Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,3.08695,2.04938,,5.60313,3.6602,2.47509
2005,3.4332,2.34131,,5.60313,3.6602,2.84228
2010,4.8691,3.31307,,5.60313,3.6602,4.07826
2015,6.39869,4.22454,,5.60313,3.6602,5.27024
2019,5.60313,3.6602,,5.60313,3.6602,4.51536
2000,1.14332,0.73291,Female,2.06499,1.34134,0.88367
2005,1.28643,0.85261,Female,2.06499,1.34134,1.02589
2010,1.82658,1.22688,Female,2.06499,1.34134,1.46749
2015,2.40781,1.57615,Female,2.06499,1.34134,1.89586
2019,2.06499,1.34134,Female,2.06499,1.34134,1.62063
2000,5.38215,3.54571,Male,10.1992,6.65021,4.22449
2005,6.10773,4.1933,Male,10.1992,6.65021,4.93969
2010,8.80935,5.98347,Male,10.1992,6.65021,7.1543
2015,11.6173,7.71302,Male,10.1992,6.65021,9.2852
2019,10.1992,6.65021,Male,10.1992,6.65021,7.94282
