Year,BASE_PER,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Degree of urbanisation,Base period,Nature of data points,Observation-level footnotes,Source details,Value
2011,2017,G,"Accessed September 14, 2022. Based on data from ICES. Estimated from grouped consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from PICES. Estimated from imputed unit-record consumption data. ","Poverty and Inequality Portal, World Bank",21.6
2017,2017,G,"Accessed September 14, 2022. Based on data from PICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from PICES. Estimated from imputed unit-record consumption data. ","Poverty and Inequality Portal, World Bank",34.2
2019,2017,G,"Accessed September 14, 2022. Based on data from PICES. Estimated from imputed unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from PICES. Estimated from imputed unit-record consumption data. ","Poverty and Inequality Portal, World Bank",39.8
2017,2017,G,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",47.92728
2019,2017,G,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",52.61328
2017,2017,G,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",4.78471
2019,2017,G,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",10.98269
2017,2017,G,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",29.6625
2019,2017,G,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",33.05316
2017,2017,G,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: PICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",41.19563
