Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2014,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,11.58
2015,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,11.85
2016,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,10.38
2017,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,9.66
2018,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,11.69
2019,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,11.06
2000,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.769
2001,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.444
2002,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.176
2003,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.928
2004,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.51
2005,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.562
2006,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.942
2007,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.091
2008,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.179
2009,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.563
2010,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.142
2011,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.378
2012,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.565
2013,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.975
2014,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.0
2015,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.018
2016,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.017
2017,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.04
2018,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.095
2019,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.006
2000,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.298
2001,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.3
2002,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.297
2003,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.293
2004,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.297
2005,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.338
2006,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.326
2007,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.34
2008,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.32
2009,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.287
2010,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.298
2011,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.309
2012,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.275
2013,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.279
2014,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.267
2015,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.268
2016,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.233
2017,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.207
2018,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.242
2019,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.249
2000,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.804
2001,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.701
2002,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.688
2003,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.624
2004,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.394
2005,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.401
2006,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.798
2007,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,2.039
2008,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.233
2009,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.466
2010,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.546
2011,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.578
2012,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.623
2013,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.391
2014,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.422
2015,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.429
2016,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.426
2017,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.43
2018,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.447
2019,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.433
