Year,COMMENT_OBS,SDG Series,Sex,Age,Composite breakdown,Unit of measure,Observation-level footnotes,Value
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Female,46 years old and over,Parliamentary committee: Gender Equality,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Female,46 years old and over,Parliamentary committee: Gender Equality,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (National Assembly), No Age Data, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,Unknown,Parliamentary committee: Foreign Affairs,Number,"Bicameral: Lower chamber (National Assembly), No Age Data, Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (National Assembly), No Age Data, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,Unknown,Parliamentary committee: Foreign Affairs,Number,"Bicameral: Lower chamber (National Assembly), No Age Data, Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,Parliamentary committee: Defence,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,Parliamentary committee: Defence,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,Parliamentary committee: Finance,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,Parliamentary committee: Finance,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,Parliamentary committee: Human Rights,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,Parliamentary committee: Human Rights,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
