Year,SDG Series,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Value
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,39.65121
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,32.38925
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,55.28514
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,59.74593
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Primary education or less,20.86746
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Primary education or less,37.92239
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Primary education or less,47.46165
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Secondary education or above,39.65121
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Secondary education or above,39.82291
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Secondary education or above,65.16486
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,Secondary education or above,67.6731
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Bottom 40%,,24.09259
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Bottom 40%,,16.30313
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Bottom 40%,,43.60118
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Bottom 40%,,46.92253
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Richest 60%,,49.97297
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Richest 60%,,43.08467
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Richest 60%,,63.05718
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,Richest 60%,,68.27607
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,Rural,,,53.57077
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,Urban,,,73.61337
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,50.20871
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,36.94645
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,58.76923
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,25 years old and over,,,,64.68462
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,22.35537
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,23.96382
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,48.35468
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,15 to 24 years old,,,,49.57986
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,37.12441
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,28.97972
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,51.66492
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Female,15 years old and over,,,,53.97527
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,42.54557
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,35.9539
