Year,Degree of urbanisation,Value
2000,,33
2001,,33
2002,,33
2003,,33
2004,,33
2005,,33
2006,,33
2007,,32
2008,,32
2009,,32
2010,,32
2011,,31
2012,,31
2013,,31
2014,,31
2015,,30
2016,,30
2017,,30
2018,,30
2019,,30
2020,,30
2000,Rural,17
2001,Rural,17
2002,Rural,17
2003,Rural,17
2004,Rural,17
2005,Rural,16
2006,Rural,16
2007,Rural,16
2008,Rural,16
2009,Rural,15
2010,Rural,15
2011,Rural,15
2012,Rural,15
2013,Rural,14
2014,Rural,14
2015,Rural,14
2016,Rural,14
2017,Rural,14
2018,Rural,13
2019,Rural,13
2020,Rural,13
2000,Urban,64
2001,Urban,64
2002,Urban,64
2003,Urban,64
2004,Urban,64
2005,Urban,64
2006,Urban,64
2007,Urban,64
2008,Urban,64
2009,Urban,64
2010,Urban,64
2011,Urban,65
2012,Urban,65
2013,Urban,65
2014,Urban,65
2015,Urban,65
2016,Urban,65
2017,Urban,65
2018,Urban,65
2019,Urban,65
2020,Urban,65
