Year,SOURCE_DETAIL,Sex,Education level,Source details,Value
2012,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,71.09126
2013,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,72.95057
2014,Annual Statistical Report for 2014 (http://mopse.co.zw/sites/default/files/public/downloads/2014-MoPSE-Annual-Statistical-Report.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,74.1934
2015,Annual Statistical Report 2015 (http://mopse.co.zw/sites/default/files/public/downloads/2015%20Annual%20Statistics%20Report_0.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,76.12014
2016,Annual Statistical Report 2016 (http://mopse.co.zw/sites/default/files/public/downloads/2016%20Annual%20Statistics%20Report%20%281%29.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,80.07104
2017,2017 Annual Education Statistics Profile (http://mopse.co.zw/sites/default/files/public/downloads/2017_national_Statistical_Profile.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,83.71778
2018,2018 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/2018%20Annual%20Statistics%20Report.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,85.47227
2019,2019 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/2019%20Annual%20Education%20Statistics%20Report%20pdf%20for%20UPLOADING.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,86.85681
2020,2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),2020 PRIMARY AND SECONDARY EDUCATION STATISTICS REPORT (http://mopse.co.zw/sites/default/files/public/downloads/EMIS%202020.pdf); Data extracted on 01 April 2022.,89.18247
2012,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,28.31023
