Year,Degree of urbanisation,Value
2010,,19.7989789069046
2011,,19.719783559971
2012,,19.4277688041603
2013,,18.8395765840478
2014,,18.9049687000321
2015,,19.5323271753248
2016,,18.6872858073535
2017,,18.8954013492755
2018,,18.6653176496148
2019,,18.4708031157731
2010,City,22.4869285557616
2011,City,22.5937308960993
2012,City,22.6982578194673
2013,City,21.7237420937043
2014,City,21.5207777531571
2015,City,22.1797556216128
2016,City,21.5189150302405
2017,City,21.903819846685
2018,City,21.3188586494033
2019,City,21.4466430335804
2010,Rural,18.8198780954556
2011,Rural,18.6824197827062
2012,Rural,18.2485023313
2013,Rural,17.811508648103
2014,Rural,17.952480302166
2015,Rural,18.5651999139453
2016,Rural,17.6599913962317
2017,Rural,17.8422393252079
2018,Rural,17.7048600065682
2019,Rural,17.4208886054697
2010,Town and semi-dense area,19.3709020229243
2011,Town and semi-dense area,19.2138874700061
2012,Town and semi-dense area,18.8621256099452
2013,Town and semi-dense area,18.2756149951639
2014,Town and semi-dense area,18.5454933618315
2015,Town and semi-dense area,19.204986525751
2016,Town and semi-dense area,18.3045133815262
2017,Town and semi-dense area,18.2426290047271
2018,Town and semi-dense area,18.3213937514029
2019,Town and semi-dense area,17.9137734819398
2010,Urban,21.63016890387
2011,Urban,21.6639863052429
2012,Urban,21.6424995739268
2013,Urban,20.7743318956701
2014,Urban,20.7011887258236
2015,Urban,21.3599387209599
2016,Urban,20.6326579897027
2017,Urban,20.8939241373133
2018,Urban,20.4916791851236
2019,Urban,20.4712940696637
