Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Upper bound value,Lower bound value,Value
2015,0,The observation represents the 3-year average of the period 2014-2016.,68.3,61.1,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,77.2,68.8,64.7
2016,0,The observation represents the 3-year average of the period 2015-2017.,70,63.5,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,77.2,68.8,66.7
2017,0,The observation represents the 3-year average of the period 2016-2018.,70.5,63.6,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,77.2,68.8,67.0
2018,0,The observation represents the 3-year average of the period 2017-2019.,70.5,63,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,77.2,68.8,66.7
2019,0,The observation represents the 3-year average of the period 2018-2020.,73.9,65.6,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,77.2,68.8,69.8
2020,0,The observation represents the 3-year average of the period 2019-2021.,77.2,68.8,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,77.2,68.8,73.0
2015,0,The observation represents the 3-year average of the period 2014-2016.,67.4,59.1,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,68.8,60.6,63.3
2016,0,The observation represents the 3-year average of the period 2015-2017.,69.7,62,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,68.8,60.6,65.8
2017,0,The observation represents the 3-year average of the period 2016-2018.,70.2,62.5,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,68.8,60.6,66.3
2018,0,The observation represents the 3-year average of the period 2017-2019.,69.9,61.8,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,68.8,60.6,65.8
2019,0,The observation represents the 3-year average of the period 2018-2020.,69.2,60.8,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,68.8,60.6,65.0
2020,0,The observation represents the 3-year average of the period 2019-2021.,68.8,60.6,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,68.8,60.6,64.7
2015,0,The observation represents the 3-year average of the period 2014-2016.,66.9,57,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,66.4,57.1,61.9
2016,0,The observation represents the 3-year average of the period 2015-2017.,68.3,59.2,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,66.4,57.1,63.7
2017,0,The observation represents the 3-year average of the period 2016-2018.,68.1,58.4,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,66.4,57.1,63.3
2018,0,The observation represents the 3-year average of the period 2017-2019.,68.3,58,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,66.4,57.1,63.1
2019,0,The observation represents the 3-year average of the period 2018-2020.,67.3,57.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,66.4,57.1,62.3
2020,0,The observation represents the 3-year average of the period 2019-2021.,66.4,57.1,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,66.4,57.1,61.7
2015,3,The observation represents the 3-year average of the period 2014-2016.,9430.3,8434.8,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,11470.5,10234.2,8932.6
2016,3,The observation represents the 3-year average of the period 2015-2017.,9815.9,8907.6,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,11470.5,10234.2,9361.7
2017,3,The observation represents the 3-year average of the period 2016-2018.,10029.6,9051.6,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,11470.5,10234.2,9540.6
2018,3,The observation represents the 3-year average of the period 2017-2019.,10178.9,9094.4,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,11470.5,10234.2,9636.6
2019,3,The observation represents the 3-year average of the period 2018-2020.,10820.4,9615.2,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,11470.5,10234.2,10217.8
2020,3,The observation represents the 3-year average of the period 2019-2021.,11470.5,10234.2,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,11470.5,10234.2,10852.3
2015,3,The observation represents the 3-year average of the period 2014-2016.,2907.4,2546.6,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,3218.7,2835.1,2727.0
2016,3,The observation represents the 3-year average of the period 2015-2017.,3048.1,2709.7,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,3218.7,2835.1,2878.9
2017,3,The observation represents the 3-year average of the period 2016-2018.,3113.4,2772.6,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,3218.7,2835.1,2943.0
2018,3,The observation represents the 3-year average of the period 2017-2019.,3151.9,2787.9,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,3218.7,2835.1,2969.9
2019,3,The observation represents the 3-year average of the period 2018-2020.,3172.7,2790.2,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,3218.7,2835.1,2981.4
2020,3,The observation represents the 3-year average of the period 2019-2021.,3218.7,2835.1,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,3218.7,2835.1,3026.9
2015,3,The observation represents the 3-year average of the period 2014-2016.,2422.7,2064.7,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,2637.5,2270.7,2243.7
