Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2005,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",3.09035
2006,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",4.8462
2007,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",31.61056
2008,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",9.884
2009,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",110.66601
2010,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",118.24355
2011,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",76.47562
2012,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",95.68885
2013,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",51.70257
2014,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",52.4211
2015,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",119.73685
