Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Unit of measure,Upper bound value,Lower bound value,Value
2000,21.7,6.7,Suicide mortality rate [3.4.2],,"Per 100,000 population",22.8,7.5,13.3
2005,22.3,7.4,Suicide mortality rate [3.4.2],,"Per 100,000 population",22.8,7.5,14.0
2010,34,11.7,Suicide mortality rate [3.4.2],,"Per 100,000 population",22.8,7.5,21.5
2015,28.6,9.7,Suicide mortality rate [3.4.2],,"Per 100,000 population",22.8,7.5,18.0
2019,22.8,7.5,Suicide mortality rate [3.4.2],,"Per 100,000 population",22.8,7.5,14.1
2000,21.9,5.9,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",14.5,4.9,12.4
2005,19.9,6.2,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",14.5,4.9,11.9
2010,27.9,9.6,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",14.5,4.9,17.2
2015,20.5,7.1,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",14.5,4.9,12.6
2019,14.5,4.9,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",14.5,4.9,8.8
2000,21.5,7.5,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",31.9,10.4,14.1
2005,24.9,8.6,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",31.9,10.4,16.2
2010,40.6,14,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",31.9,10.4,26.2
2015,37.5,12.5,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",31.9,10.4,23.8
2019,31.9,10.4,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",31.9,10.4,20.0
2000,2575,798,Number of deaths attributed to suicide [3.4.2],,Number,3337,1101,1578.0
2005,2692,890,Number of deaths attributed to suicide [3.4.2],,Number,3337,1101,1688.0
2010,4311,1488,Number of deaths attributed to suicide [3.4.2],,Number,3337,1101,2731.0
2015,3948,1339,Number of deaths attributed to suicide [3.4.2],,Number,3337,1101,2481.0
2019,3337,1101,Number of deaths attributed to suicide [3.4.2],,Number,3337,1101,2069.0
2000,1327,360,Number of deaths attributed to suicide [3.4.2],Female,Number,1108,373,755.0
2005,1249,392,Number of deaths attributed to suicide [3.4.2],Female,Number,1108,373,750.0
2010,1854,641,Number of deaths attributed to suicide [3.4.2],Female,Number,1108,373,1144.0
2015,1488,518,Number of deaths attributed to suicide [3.4.2],Female,Number,1108,373,915.0
2019,1108,373,Number of deaths attributed to suicide [3.4.2],Female,Number,1108,373,673.0
2000,1248,438,Number of deaths attributed to suicide [3.4.2],Male,Number,2229,728,823.0
2005,1443,498,Number of deaths attributed to suicide [3.4.2],Male,Number,2229,728,938.0
2010,2457,848,Number of deaths attributed to suicide [3.4.2],Male,Number,2229,728,1588.0
2015,2460,821,Number of deaths attributed to suicide [3.4.2],Male,Number,2229,728,1566.0
2019,2229,728,Number of deaths attributed to suicide [3.4.2],Male,Number,2229,728,1395.0
